asdf_id,gpw_v4_count.2020.sum,adm,gbid,NAME,Level,adm_int,feature_id,iso,ISO_Code,gqid
0,1869573.92767,ADM1,USA_ADM1_1_3_3_0,West Virginia,ADM1,1,0,USA,US-WV,0
1,21731980.7622,ADM1,USA_ADM1_1_3_3_1,Florida,ADM1,1,1,USA,US-FL,1
2,13061302.7715,ADM1,USA_ADM1_1_3_3_2,Illinois,ADM1,1,2,USA,US-IL,2
3,5609004.28076,ADM1,USA_ADM1_1_3_3_3,Minnesota,ADM1,1,3,USA,US-MN,3
4,6140557.75,ADM1,USA_ADM1_1_3_3_4,Maryland,ADM1,1,4,USA,US-MD,4
5,1024399.8125,ADM1,USA_ADM1_1_3_3_5,Rhode Island,ADM1,1,5,USA,US-RI,5
6,1868611.93224,ADM1,USA_ADM1_1_3_3_6,Idaho,ADM1,1,6,USA,US-ID,6
7,1360094.125,ADM1,USA_ADM1_1_3_3_7,New Hampshire,ADM1,1,7,USA,US-NH,7
8,11119194.9297,ADM1,USA_ADM1_1_3_3_8,North Carolina,ADM1,1,8,USA,US-NC,8
9,624119.75,ADM1,USA_ADM1_1_3_3_9,Vermont,ADM1,1,9,USA,US-VT,9
10,3643209.5,ADM1,USA_ADM1_1_3_3_10,Connecticut,ADM1,1,10,USA,US-CT,10
11,1006801.0625,ADM1,USA_ADM1_1_3_3_11,Delaware,ADM1,1,11,USA,US-DE,11
12,2287542.52354,ADM1,USA_ADM1_1_3_3_12,New Mexico,ADM1,1,12,USA,US-NM,12
13,40126049.0848,ADM1,USA_ADM1_1_3_3_13,California,ADM1,1,13,USA,US-CA,13
14,8927665.0,ADM1,USA_ADM1_1_3_3_14,New Jersey,ADM1,1,14,USA,US-NJ,14
15,5870150.71289,ADM1,USA_ADM1_1_3_3_15,Wisconsin,ADM1,1,15,USA,US-WI,15
16,4179451.23357,ADM1,USA_ADM1_1_3_3_16,Oregon,ADM1,1,16,USA,US-OR,16
17,1912023.93115,ADM1,USA_ADM1_1_3_3_17,Nebraska,ADM1,1,17,USA,US-NE,17
18,12816684.4325,ADM1,USA_ADM1_1_3_3_18,Pennsylvania,ADM1,1,18,USA,US-PA,18
19,7470816.31352,ADM1,USA_ADM1_1_3_3_19,Washington,ADM1,1,19,USA,US-WA,19
20,4575742.125,ADM1,USA_ADM1_1_3_3_20,Louisiana,ADM1,1,20,USA,US-LA,20
21,11383132.3125,ADM1,USA_ADM1_1_3_3_21,Georgia,ADM1,1,21,USA,US-GA,21
